scheme,village,period_recent,period_base,variable,mean_recent,mean_base,delta,pct_change,p_welch,hedges_g,ci_low,ci_high,n_recent,n_base
nearest1,Mandena,2018-2022,2003-2007,hot35_h,0,0,0,,,,0,0,5,5
nearest1,Sarahandrano,2018-2022,2013-2017,tmean_c,21.575185084765,21.6497955964814,-0.0746105117164291,-0.344624554924459,0.671342052534079,-0.254324670543863,-0.375822398196707,0.224556150246492,5,5
nearest1,Sarahandrano,2018-2022,2013-2017,tmax_c,26.1571080477426,26.2717746128856,-0.114666565142926,-0.436462960087535,0.419930639347723,-0.486141176410459,-0.334979989008947,0.139711912486534,5,5
nearest1,Sarahandrano,2018-2022,2013-2017,tmin_c,18.1050288194996,18.0435710268906,0.0614577926090725,0.340607701865009,0.79059516993593,0.15902598397936,-0.318375660345708,0.441357368195703,5,5
nearest1,Sarahandrano,2018-2022,2013-2017,rh_mean,85.41242523416,84.9602170890989,0.45220814506115,0.532258697723092,0.376958434714195,0.535695661744609,-0.398234769477741,1.26591687353285,5,5
nearest1,Sarahandrano,2018-2022,2013-2017,vpd_kpa,0.433950784515077,0.450983693985061,-0.0170329094699835,-3.77683488275915,0.221590218554233,-0.757220514269491,-0.0407155226214954,0.00537567194046548,5,5
nearest1,Sarahandrano,2018-2022,2013-2017,ssrd_MJ_day,5.46666666666668e-06,6.51666666666666e-06,-1.04999999999997e-06,-16.1125319693091,0.592289647648158,-0.321507676709151,-4.29999999999998e-06,2.26666666666671e-06,5,5
nearest1,Sarahandrano,2018-2022,2013-2017,wbgt28_h,3.23333333333333,2.91666666666667,0.316666666666667,10.8571428571429,0.570993224953561,0.338026385448416,-0.583333333333334,1.26666666666667,5,5
nearest1,Sarahandrano,2018-2022,2013-2017,wbgt31_h,0,0,0,,,,0,0,5,5
nearest1,Sarahandrano,2018-2022,2013-2017,hot35_h,0,0,0,,,,0,0,5,5
nearest1,Sarahandrano,2018-2022,2008-2012,tmean_c,21.575185084765,21.4973605919055,0.0778244928594951,0.362018827970904,0.681359468419954,0.244182298122544,-0.25401229395923,0.404841799433789,5,5
nearest1,Sarahandrano,2018-2022,2008-2012,tmax_c,26.1571080477426,26.1696790437347,-0.0125709959920144,-0.0480364928091238,0.947954721009571,-0.0386698447052922,-0.326298100512908,0.31344504475873,5,5
nearest1,Sarahandrano,2018-2022,2008-2012,tmin_c,18.1050288194996,17.957280245246,0.147748574253583,0.822778128067016,0.515977659852692,0.399595481934219,-0.240555192387483,0.50945125977718,5,5
nearest1,Sarahandrano,2018-2022,2008-2012,rh_mean,85.41242523416,85.840640421053,-0.428215186893013,-0.498849012300694,0.465033773391238,-0.438436040789765,-1.39583204329858,0.532458336707433,5,5
nearest1,Sarahandrano,2018-2022,2008-2012,vpd_kpa,0.433950784515077,0.422882680092431,0.0110681044226466,2.61729906276307,0.559462028299949,0.351465361071217,-0.0203169495245463,0.0434055226504733,5,5
nearest1,Sarahandrano,2018-2022,2008-2012,ssrd_MJ_day,5.46666666666668e-06,7.20000000000002e-06,-1.73333333333334e-06,-24.0740740740741,0.464172616342415,-0.439105497675108,-5.58250000000001e-06,2.25000000000001e-06,5,5
nearest1,Sarahandrano,2018-2022,2008-2012,wbgt28_h,3.23333333333333,3.01666666666667,0.216666666666667,7.18232044198896,0.790116521921881,0.159253864363677,-1.18333333333333,1.53333333333333,5,5
nearest1,Sarahandrano,2018-2022,2008-2012,wbgt31_h,0,0.0166666666666667,-0.0166666666666667,-100,0.373900966300059,-0.571250157965901,-0.05,0,5,5
nearest1,Sarahandrano,2018-2022,2008-2012,hot35_h,0,0,0,,,,0,0,5,5
nearest1,Sarahandrano,2018-2022,2003-2007,tmean_c,21.575185084765,21.1983787902196,0.376806294545379,1.77752411292522,0.0607346911849439,1.39216342750136,0.116219535549118,0.644769095231295,5,5
nearest1,Sarahandrano,2018-2022,2003-2007,tmax_c,26.1571080477426,25.6830070536928,0.474100994049827,1.84597151361082,0.0091196097574631,1.95540378259376,0.223670755093845,0.713948870327702,5,5
nearest1,Sarahandrano,2018-2022,2003-2007,tmin_c,18.1050288194996,17.7295794224623,0.375449397037276,2.11764412505805,0.135020394103273,1.0354766401473,0.0287309652921271,0.73436693526317,5,5
nearest1,Sarahandrano,2018-2022,2003-2007,rh_mean,85.41242523416,86.259376244256,-0.846951010095964,-0.981865446948861,0.110296774863334,-1.03642045234989,-1.66768440599298,-0.0538801560068544,5,5
nearest1,Sarahandrano,2018-2022,2003-2007,vpd_kpa,0.433950784515077,0.39887677626844,0.0350740082466372,8.79319387174167,0.0253706189671882,1.56638845416889,0.0128900552232504,0.0571385285719582,5,5
nearest1,Sarahandrano,2018-2022,2003-2007,ssrd_MJ_day,5.46666666666668e-06,7.11666666666667e-06,-1.64999999999998e-06,-23.1850117096016,0.44503454106903,-0.459991989718187,-5.34958333333334e-06,1.93333333333337e-06,5,5
nearest1,Sarahandrano,2018-2022,2003-2007,wbgt28_h,3.23333333333333,2.65,0.583333333333334,22.0125786163522,0.507341189207412,0.404595965411856,-0.833333333333334,1.99958333333333,5,5
nearest1,Sarahandrano,2018-2022,2003-2007,wbgt31_h,0,0.0166666666666667,-0.0166666666666667,-100,0.373900966300059,-0.571250157965901,-0.05,0,5,5
nearest1,Sarahandrano,2018-2022,2003-2007,hot35_h,0,0,0,,,,0,0,5,5
